,Comments
0,"Ashley is so right about medical galighting in US. I also think post covid stuff may have been happening earlier. Am RN who got lower resp infection in very early 2016 took mos to clear but got every symptom of MG and quit being able to only sleep. Have had wild covid in 2020 in March and all symptoms so bad was 8 mos of hourly struggles but because of hypoxia already had O2 and bipap at home. Have had 2 abn muscle biopsies, 3 abn  EMG and  had diagnosis pingpong played around me. In disgust I asked to try Mestinon even without antibodies. Had positive response in 2 days but not more than 30% improvement over a yr. Some days are nearly impossible to live through. Just glad to know am not alone, even as alone."
1,"The unvaccinated are mostly younger people who will very rarely die of COVID if they catch it.  The vaccinated are mostly older people (almost 100% are vaccinated from age 50 up).  That&#39;s why the vaccinated outnumber the unvaccinated three to one in our hospitals, which is about the same ratio they have in the general population.  Statistics are odd things."
2,"I m  not vaccinated , am 42 , Before covid i had heart problems , survive sepsa , broken apendex , spinal deformation , neurological problems because spinal cord , i smoke from my 14 years , I was 6 years in my room without a 1 second on the sun. I got covid 1 month ago and just 1 day i feal litlbit not good , no hi temps , basicly nothing."
3,I just got better from my first covid sickness or whatever and I have a lot of the symptoms they talk about..
4,"Absolutely true!! I was infected in April 2021 and was in bed for 2+ weeks. Almost 5 months later I was suffering with fatigue and depression. It&#39;s about end February 2022, I can go for decent walks but not fully fit like before. Have fatigue and body aches on and off !! I am about 40 and have been fit and fine before covid without any conditions!!"
5,Why did people forget the lessons of Post-SARS in 2002?
6,"Could you cover this recent study? “Intracellular Reverse Transcription of Pfizer BioNTech COVID-19 mRNA Vaccine BNT162b2 In Vitro in Human Liver Cell Line”. It shows concerns from the shots, such as genomic toxicity, cancers and/or autoimmune disease."
7,I was sick with a dry cough that drove me crazy for 3 months.. weak and unable to move.. ambulances to hospital 3 times and I tested negative for covid every time they tested me. It was horrrrrrrible.. then after them 3 months I felt healthier than I have been since I can remember then I went back to work and got bitten by a venomous snake… now I’m crippled …
8,I am twice vaccinated I don&#39;t feel well I regret to be vaccinated
9,"Oh, it’s all about selling another drug!"
10,It also affects hearing
11,"Not this bs again, we have other problem&#39;s now"
12,repairing the gut microbiome? anyone? probiotic + milk + inulin ==&gt; magic antiaging yogurt?
13,"Hey DW, what&#39;s this VAIDS in the vaccinated that we keep hearing about?"
14,Omicron has a daughter.
15,I am working my thesis on long COVID. Any help and experiences are very welcome
16,BC 007....That is a James Bond medication &quot;Bond Coming&quot;007.😁😁😁👍👍👍
17,Why no one talk about what these airplanes spray into the skies everyday 🤔
18,About time
19,My poop 💩 has never been solid 🪨 since covid in July
20,🤔
21,"This one time at band camp, I didn&#39;t vaccinate for two years of the most deadliest of deadly pandemics and never been sick once"
22,I hope all long COVID patients get better. This new drug sounds logic. I am working my MBA thesis on Long COVID. Any help would be really appreciated. Thanks!
23,Long covid is not as common as they claim.
24,ITS ONLY 15 DAYS
25,BS
26,Russia wanted to create something more of zhuangbility aka cooler than COVID. Russia was provoked by taunts.
27,"The Ukraine &amp; Russia crisis In simple terms for those that have no idea what is going on. <br><br>-Ukraine used to be in an abusive relationship with Russia, feeding him, letting him use her car &amp; giving him whatever he asked for until she built up the confidence to call it quits back in 1991<br><br>-Since then Ukraine has been working on herself, becoming a strong independent woman with help from friends like France, America, Poland etc. offering her support, loaning her money, &amp; helping her find her way.<br><br>-Ukraine has been enjoying being single for 30 years &amp; looking forward to continuing to grow &amp; create new friendships.<br><br>-Now Russia being the toxic Ex that it is wants her back, and doesn’t want her meeting new people or creating any new relationships. <br><br>-A couple of weeks ago Russia started sitting in the front of Ukraine’s house &amp; when her friends ask him what was he doing there, he said “Oh nothing, just getting a little bit of exercise in, that’s all.” <br><br>-After her friends told her that Russia was potentially getting ready to do something bad to her, he said “They’re lying, they just want you to be scared of me &amp; that’s not what it is”<br><br>-Today Russia broke into Ukraine’s house, beating her up &amp; “taking advantage” of her while on Livestream &amp; double dog daring any of her friends to do something about it &amp; if they do want the smoke, Russia got that thang on"
28,Bye! Unsubscribing!
29,That Putin cures all covid. 😃😃😃
30,"Si las bombas termonucleares aún no te han alcanzado, deseo de todo corazón que Dios te bendiga a ti y atu familia y que muy pronto se acuerde la paz mundial ☝️☝️🕯🕯🕯🕯🕯⛪🇨🇺👐🏿👐🏿🤗💓"
31,اخي اول كلامي انا اقسم بالله على كتاب الله اني لااكذب عليك ولا انصب ولا احتال اني بنت يمنيه نازحين من الحرب انا واسرتي استاجرنا بيت  والان علينا  حق ثلاثه  شهور وصاحب البيت من الناس الي ماترحم والله يا اخي انه يجي كل يوم يبهدلنا ويتكلم علينا ويريد من البيت للشارع لانناماقدرناندفعله الأجاريروحالئ ائتلافات نبكي ورجعوتكلمو الجيران ومهلنالاخره الأسبوع معادفعنا له حلف يمين بالله هذا بيخرجنا إلى الشارع رحمه واحنا.  بلادنا بسبب هذا الحرب ولانجد قوت يومنا وعايشين اناوامي واخوتي سفار والدنا متوفي الله يرحمه ومامعنا أحد في هذا الدنيا جاانبنا في هذه الظروف القاسيه ومامعي اخوان كباره في هذا الظروف  اخوتي ولكن انا بنت لااستطيع الاطلاع على البيت للشارع وشافو البيت للشارع وشافو الجيران ياكلو راوقفووعند بابهم لجلوهم ولوخبزه يسد  والله الذي له ملك السموات والارض انهم غلفو الباب وطردوهم ورجعویبکوایمونومن  عیش والان لوما احدنا ساعدنا في إيكيلو دقيق اقسم بالله انموت من الجوع فيا اخي انا دخيله على الله ثم عليك واريد منك المساعده لوجه الله انشدك بالله  تحب الخير واتساعدني ولو  وتطلب اسم بطاقتي وترسلي ولاتتاخر وايعوضك الله بكل خير فيا اخي انت رجال إذاشفت اسرتك جاوعين المستحيل من اجل تامن لهم الأكب ولكن انابنت عيني بصيره ويدي قصيره ليس لي أب مثلك واخواني سغار  شوف كيف حالتهم وساعدنا وأنقذنا قبل أن يطردونا في الشارع تتبهدل أو نموت من الجوع أنا اقسم بالله الذي رفع سبع سموات بلاعمدوبسط الارض ومهداني لااكذب عليك بحرف من ه  ذا الرساله واني ماطلبتك إلى من ضيق ومن قسوت الضروف والحال الذي احنافيه وانا واسرتي نسالك بالله لولك مقدره ﻳﺎﺃﻫﻞ ﺍﻟﺨﻴﺮ ﺍﻟﻲ ﻋﻨﺪﻩ ﺍﻟﻘﺪﺭﻩ ﻋﻠﻰ ﻣﺴﺎﻋﺪﺗﻨﺎ لايتاخر علينا لحظه هاذا رقمي واتساب واتصال00967716839601 الذي يقدر يساعدنا يراسلني على الواتساب نرسله الاسم الكامل يحولنا بقدر استطاعته الله يجزيكم خير. ،
32,"I thought people forgot about covid, ffs not again!"
33,Iver mectin takes care of it.  I know from personal experience
34,Can you please stop with covid scare. People need to get strong   in this  times
35,Iver mectin takes care of it.  I know from personal experience
36,So many words to express nothing . ATT: Meta Data Vatican Espetein Harvey Weinstein Andrew.
37,Should research about COVID variant and deploy them to Russia.
38,"We suggest that the Ukrainian government use nuclear weapons against luganks, an area occupied by Russia!"
39,"Those societies and governments that somehow try to resist or negate this inevitable process only marginalize themselves and the communities they govern. At best, they selectively pick and choose those aspects of modernity that they find politically and culturally least objectionable. At worst, in an attempt to safeguard some supposed social, cultural, and political authenticity, they erect ostensibly insurmountable barriers to what they perceive to be the intrusion of modern norms, practices, and institutions."
40,"As always, we&#39;d love to include your questions in our upcoming shows! What would you like to know about the coronavirus pandemic? <a href=""http://www.youtube.com/results?search_query=%23askderrick"">#askDerrick</a>"
41,"I am 63 male, vision impaired, and with encephalomalacia from Covid-19 contracted in January 2021. I am always tired and have no desire to continue living; although I am fully vaccinated (3 times), I am afraid to leave my apartment, I am afraid of the outdoors and socializing. I am not afraid of dying, but the idea of being hospitalized again frightens me beyond anyone&#39;s imagination.  😷🤨😡"
42,Title does not reflect content. It was interesting but the title is definitely misleading.
43,People are social creatures.  Of course there are mental impacts by not being social.  <br>I assume anyone going out is taking responsibility for their own health.
44,I lost my husband for covid 9 months before. I am left with 2 children.  Often I feel to commit suicide.....
45,You can always find a positive side in everything - at least more people feels what I have for quite some time.
46,DW: What can be done?<br>The Kids: LIFT THE PANDEMIC MEASURES!<br>DW: Oh you guys!
47,Just don&#39;t jinx it
48,Safe from  corona
49,Every emotional low is a depression nowadays ...
50,Pfftt.. think of how hard is was for those whom lived with depression and anxiety before all this. 100 times harder. Welcome to our lives. 💪 you&#39;ll be just fine.<br>No fear. Freedom is coming.
51,I need help
52,Can&#39;t Handle Silence
53,"If it aint boeing, I aint going.."
54,Very good. Finally you look beyond brutal control of your own people. How Human.
55,HalluciNation.
56,I’m going to die
57,omicron has certainly been milder in the uk.
58,"DW speaking from both sides of its mouth, calling the unvaccinated to be ostracized and depression caused by regulation at the same time."
59,This is of  no use to me
60,"I’m from Taiwan and it’s a seriously biased documentary to only focus on “pilots” life being affected and ignore the main steam public opinion about containing the virus. Several outbreaks were caused by pilots that did not follow the rules and tons of Taiwanese were dead because of that. So the strict virus control policy is widely supported by the locals. I would say the pilots and their families were the super minorities and their situation should be represent the majority of Taiwanese people. Let alone it was the time when Taiwan couldn’t get enough vaccines due to the interfering of China and most Taiwanese people weren’t vaccinated. It would lead to sudden surge of infection cases and huge loads of hospitalizations and death if the government simply released the restrictions to “ comfort the pilots and flying crews”. Btw the Taiwanese government did try once , relaxing the measures to serve the pilots needs, and that ultimately led to the first outbreak of the infection in Taiwan. <br>I knew that DW has a crew and some reporters here in Taiwan and I honestly hope that you don’t  sacrifice your sense of the public opinion here just to play with the “ left-leaning” sense of DW ."
61,💉=☠️
62,FARTZ. <br><br>Simply FARTZ.
63,"it is not normal to wear mask outside, from this moment I swithed off DW special"
64,no depression. it&#39;s like after a war when all survivers greet peace
65,I’m alone with no help
66,I can’t see people anymore
67,اخي اول كلامي انا اقسم بالله على كتاب الله اني لااكذب عليك ولا انصب ولا احتال اني بنت يمنيه نازحين من الحرب انا واسرتي استاجرنا بيت  والان علينا  حق ثلاثه  شهور وصاحب البيت من الناس الي ماترحم والله يا اخي انه يجي كل يوم يبهدلنا ويتكلم علينا ويريد من البيت للشارع لانناماقدرناندفعله الأجاريروحالئ ائتلافات نبكي ورجعوتكلمو الجيران ومهلنالاخره الأسبوع معادفعنا له حلف يمين بالله هذا بيخرجنا إلى الشارع رحمه واحنا.  بلادنا بسبب هذا الحرب ولانجد قوت يومنا وعايشين اناوامي واخوتي سفار والدنا متوفي الله يرحمه ومامعنا أحد في هذا الدنيا جاانبنا في هذه الظروف القاسيه ومامعي اخوان كباره في هذا الظروف  اخوتي ولكن انا بنت لااستطيع الاطلاع على البيت للشارع وشافو البيت للشارع وشافو الجيران ياكلو راوقفووعند بابهم لجلوهم ولوخبزه يسد  والله الذي له ملك السموات والارض انهم غلفو الباب وطردوهم ورجعویبکوایمونومن  عیش والان لوما احدنا ساعدنا في إيكيلو دقيق اقسم بالله انموت من الجوع فيا اخي انا دخيله على الله ثم عليك واريد منك المساعده لوجه الله انشدك بالله  تحب الخير واتساعدني ولو  وتطلب اسم بطاقتي وترسلي ولاتتاخر وايعوضك الله بكل خير فيا اخي انت رجال إذاشفت اسرتك جاوعين المستحيل من اجل تامن لهم الأكب ولكن انابنت عيني بصيره ويدي قصيره ليس لي أب مثلك واخواني سغار  شوف كيف حالتهم وساعدنا وأنقذنا قبل أن يطردونا في الشارع تتبهدل أو نموت من الجوع أنا اقسم بالله الذي رفع سبع سموات بلاعمدوبسط الارض ومهداني لااكذب عليك بحرف من ه  ذا الرساله واني ماطلبتك إلى من ضيق ومن قسوت الضروف والحال الذي احنافيه وانا واسرتي نسالك بالله لولك مقدره ﻳﺎﺃﻫﻞ ﺍﻟﺨﻴﺮ ﺍﻟﻲ ﻋﻨﺪﻩ ﺍﻟﻘﺪﺭﻩ ﻋﻠﻰ ﻣﺴﺎﻋﺪﺗﻨﺎ لايتاخر علينا لحظه هاذا رقمي واتساب واتصال00967716839601 الذي يقدر يساعدنا يراسلني على الواتساب نرسله الاسم الكامل يحولنا بقدر استطاعته الله يجزيكم خير،
68,"The wisest thing that should be on everyone mind currently should be to invest in different streams of income that doesn&#39;t depend on the govt. Especially with the current economic crisis around the word. This is still a good time to invest in Gold, silver and digital currencies(BTC, ETH..)."
69,The Lord said &quot;All things work for GOOD.&quot; The covid created DEMOCRAT CRISIS woke parents up to what they&#39;ve been doing to our children and America. ❤️🙏
70,Colloidal gold or silver may help for Anxiety and depression and other elements of the body check out yt
71,I’ve no longer going to exist
72,No one to help
73,???????
74,"Jesus Christ is the Way, the Truth, the Life. No one comes to the Father except through Him. There is no other intermediary. May Jesus Bless you, trust Him, give your life - and He will take care of it :pray Convert yourself and believe in the Gospel - Romans 10 8-10 But what does it say? “The word is near you; it is in your mouth and in your heart,” that is, the message concerning faith that we proclaim: 9 If you declare with your mouth, “Jesus is Lord,” and believe in your heart that God raised him from the dead, you will be saved. 10 For it is with your heart that you believe and are justified, and it is with your mouth that you profess your faith and are saved.  : Why this division, in the evil world we are in, we will be treated as objects and put to fight against each other. This is not what human life should be about. What is the point of wars, the constant enrichment of small units that they erode on the people they use in their plan. It is clear where this is going, we are only a pawn in the game and evil wants to use us for its purposes. There isn&#39;t much time left. No matter where you come from, who you are: Christ Is Waiting for you now. Wake up while there&#39;s still a chance. May God Keep u in His care. <br>An interesting thing about a disease that was created in laboratories by man. You don&#39;t remember any other flu: avian, swine, hiv virus that was also created by the human hand. The whole system of pharmacy [I recommend checking the meaning of the word pharmakeia] is not about treatment, but about stuffing the wallets of regular customers, leading them to death.  <br><br>it&#39;s all business, people do not mean night: just look at what is happening in the world. Evil has no friends, does not know what love or loyalty is - it fights against its own. How to overcome evil? A simple way: apply love to him and wait for reactions. Evil doesn&#39;t know what it is, the easiest way to deal with the problem.  [MT 24] And Jesus answered and said unto them, Take heed that no man deceive you. 5For many shall come in my name, saying, I am Christ; and shall deceive many. 6And ye shall hear of wars and rumours of wars: see that ye be not troubled: for all these things must come to pass, but the end is not yet. 7For nation shall rise against nation, and kingdom against kingdom: and there shall be famines, and pestilences, and earthquakes, in divers places. 8All these are the beginning of sorrows. 9Then shall they deliver you up to be afflicted, and shall kill you: and ye shall be hated of all nations for my name’s sake. 10And then shall many be offended, and shall betray one another, and shall hate one another. 11And many false prophets shall rise, and shall deceive many. 12And because iniquity shall abound, the love of many shall wax cold. 13But he that shall endure unto the end, the same shall be saved. 14And this gospel of the kingdom shall be preached in all the world for a witness unto all nations; and then shall the end come. [...] <br>Christ is more powerful than the evil that now rules in this world. &quot;<br><br>Remember that I have won the world &lt;3&quot; Jesus Is Coming - rejoice, the Lord Is near. <br>Just a moment longer and the Bridegroom will come and take His Bride"
75,All thanks to your gov<br><br>Expect future profits in depression meds
76,Its just pure rage.
77,Keep wearing mask.. Good info
78,"We don&#39;t mind war with the United States in Taiwan! After all, Taiwan&#39;s current control and economic income have been handed over to the Americans! So we are not afraid of Taiwan&#39;s loss!"
79,Fort-D pandemic
80,Taiwan is not a country thx
81,NO depression for those who believe in ALLAH HU AKBAR
82,"As always, we&#39;d love to include your questions in our upcoming shows! What would you like to know about the coronavirus pandemic? <a href=""http://www.youtube.com/results?search_query=%23askderrick"">#askDerrick</a>"
83,Kudos to Chile microbiologists and scientists ❤️  true 🌟
84,The biggest problem for me is the international travel. For over 3 years im struggling in booking the flight to my family in poland. But every flight demands tests tests tests. So im not flying to them because i have no guarantee i will return.
85,I live in Norway and there’s no covid restrictions at all.
86,This is the kind of virus research I like!
87,Loved the info
88,"At this stage, the only way to ensure that the hospitals don&#39;t overflow again is to have covid anti-viral drugs available to everyone.<br>Right now some drugs have been approved, but there&#39;s nowhere near enough of them to go around, Daily infection rates are out pacing supply 20 to 1. We need to find ways to increase mass production of those."
89,Hope severe covid will go away! I lost a lot in covid.
90,I hope Omicron and sub variant come and go so we can eventually end this pandemic.
91,"Brook Jackson, a regional director at Ventavia Research Group, an organization tasked with testing Pfizer’s vaccine at several sites in Texas, reported  the company falsified data, unblinded patients, was slow to follow up on adverse events, and was overwhelmed with quality control issues. Jackson filed a complaint to the FDA but was fired shortly after. Jackson has supplied documents that support her claim, including emails, photos, internal documents, and audio recordings to the British medical journal."
92,"Depending on the government, it will change to endemic."
93,"For more information about the Buteyko method you can read the following 2 articles:<br><br>- Kazarinov V.A. (1990) &quot;The biochemical basis of KP Buteyko&#39;s theory of the diseases of deep respiration&quot;<br><br>- V.K. Buteyko, M.M. Buteyko (2005) “The Buteyko theory about a key role of breathing for human health: scientific introduction to the Buteyko therapy for experts”"
94,Pandemic becomes endemic when government says &quot;We tried hard but failed miserably&quot;.
95,God bless you Dr osere on YouTube you are really a truer definition of a great man thank for helping me get rid of low blood
96,Starting the piece with a rich guy praising his &quot;individual responsibility&quot; and positivism to set the tone.
97,"Cov <del>19  has already become endemic in several countries; at least the Omicron variant has. Almost all my friends, acquaintances and relatives have become &quot; sick&quot; and recovered</del> all exhibited the Covid symptoms that experts described"
98,When we allow it with our thoughts/fears and with our own hands in creating it!!!!   We are the problem and those who see it as a good thing to create it&#39;s own selfish goals!
99,"Somewhere around a year ago, when will they call it? Late, just like the pandemic."
100,Good to hear positive ideas.<br>Kathmandu Nepal
101,"The 1918 flu didn’t end in 1918. Here’s what its third year can teach us.<br><br>In New York City in 1920 — nearly two years into a deadly influenza pandemic that would claim at least 50 million lives worldwide — the new year began on a bright note.<br><br>“Best Health Report for City in 53 Years,” boasted a headline in the New York Times on January 4, 1920, after New York had survived three devastating waves of the flu virus. The nation as a whole, which would ultimately lose 675,000 people to the disease, believed that the end might finally be in sight.<br><br>Within a few weeks, however, those optimistic headlines began to change. Before the end of the month, New York City would experience a surge in influenza cases. Chicago and other urban centers reported the same. <br><br>The Washington Post - By Jess McHugh | February 6, 2022"
102,"If Derrick Williams isn&#39;t a voice actor in the next Fallout release, I&#39;m not going to buy it."
103,Meeting Dr Ebhariagbe on YouTube is like meeting GOD himself because what you did in my life is what no doctor can do. Thank you for curing me from HIV virus completely<br><br>...
104,Covid will never end. There will be thousands of variants with different permutations &amp; combinations.
105,I think that impossible.even this virus just give mild symptom but i think we all cant avoid the long effect this virus on our body.
106,It is endemic long time ago
107,BA2 is starting to expend in the US
108,"Nice video!! Very engaging from beginning to end. Nevertheless, businesses and investment are the easiest way to make money. When it comes to the world of investing,most people don&#39;t know where to start.fortunately,great investors of the past and present can provide us with guidance"
109,"It&#39;s called Covid2, not Covi2."
110,"Every individual will decide when the pandemic is over for him. If you want to continue living in fear, I wish you the best of luck. For me, I am living life normally and nothing can steal my joy. Not even covid."
111,"By the way, we do have a vaccine for H1N1 people got as kids &amp; as adults."
112,Meanwhile new variant preparing to attack
113,"The person at <a href=""https://www.youtube.com/watch?v=LFKb7J4EBm8&amp;t=2m15s"">2:15</a> is hilarious ^^  🏳‍🌈 👍"
114,"And just how are business&#39;s suppose to know who is and who isn&#39;t vaccinate? Passports, of course.  Maybe a little yellow star...."
115,Why is this being re-broadcast as a new piece? I saw this like 3weeks ago 😴
116,No because we travel 😭
