,Comments,Clean,Label
0,"Ashley is so right about medical galighting in US. I also think post covid stuff may have been happening earlier. Am RN who got lower resp infection in very early 2016 took mos to clear but got every symptom of MG and quit being able to only sleep. Have had wild covid in 2020 in March and all symptoms so bad was 8 mos of hourly struggles but because of hypoxia already had O2 and bipap at home. Have had 2 abn muscle biopsies, 3 abn  EMG and  had diagnosis pingpong played around me. In disgust I asked to try Mestinon even without antibodies. Had positive response in 2 days but not more than 30% improvement over a yr. Some days are nearly impossible to live through. Just glad to know am not alone, even as alone.",ashley right medical galighting us also think post covid stuff may happening earlier rn got lower resp infection early took mo clear got every symptom mg quit able sleep wild covid march symptom bad mo hourly struggle hypoxia already bipap home abn muscle biopsy abn emg diagnosis pingpong played around disgust asked try mestinon even without antibody positive response day not improvement yr day nearly impossible live glad know not alone even alone,0
1,"The unvaccinated are mostly younger people who will very rarely die of COVID if they catch it.  The vaccinated are mostly older people (almost 100% are vaccinated from age 50 up).  That's why the vaccinated outnumber the unvaccinated three to one in our hospitals, which is about the same ratio they have in the general population.  Statistics are odd things.",unvaccinated mostly younger people rarely die covid catch vaccinated mostly older people almost vaccinated age vaccinated outnumber unvaccinated three one hospital ratio general population statistic odd thing,0
2,"I m  not vaccinated , am 42 , Before covid i had heart problems , survive sepsa , broken apendex , spinal deformation , neurological problems because spinal cord , i smoke from my 14 years , I was 6 years in my room without a 1 second on the sun. I got covid 1 month ago and just 1 day i feal litlbit not good , no hi temps , basicly nothing.",not vaccinated covid heart problem survive sepsa broken apendex spinal deformation neurological problem spinal cord smoke year year room without second sun got covid month ago day feal litlbit not good hi temp basicly nothing,0
3,I just got better from my first covid sickness or whatever and I have a lot of the symptoms they talk about..,got better first covid sickness whatever lot symptom talk,0
4,"Absolutely true!! I was infected in April 2021 and was in bed for 2+ weeks. Almost 5 months later I was suffering with fatigue and depression. It's about end February 2022, I can go for decent walks but not fully fit like before. Have fatigue and body aches on and off !! I am about 40 and have been fit and fine before covid without any conditions!!",absolutely true infected april bed week almost month later suffering fatigue depression end february go decent walk not fully fit like fatigue body ache fit fine covid without condition,0
11,"Not this bs again, we have other problem's now",not b problem,0
15,I am working my thesis on long COVID. Any help and experiences are very welcome,working thesis long covid help experience welcome,0
21,"This one time at band camp, I didn't vaccinate for two years of the most deadliest of deadly pandemics and never been sick once",one time band camp vaccinate two year deadliest deadly pandemic never sick,0
22,I hope all long COVID patients get better. This new drug sounds logic. I am working my MBA thesis on Long COVID. Any help would be really appreciated. Thanks!,hope long covid patient get better new drug sound logic working mba thesis long covid help would really appreciated thanks,0
23,Long covid is not as common as they claim.,long covid not common claim,0
25,BS,b,0
26,Russia wanted to create something more of zhuangbility aka cooler than COVID. Russia was provoked by taunts.,russia wanted create something zhuangbility aka cooler covid russia provoked taunt,0
28,Bye! Unsubscribing!,bye unsubscribing,0
32,"I thought people forgot about covid, ffs not again!",thought people forgot covid ffs not,0
34,Can you please stop with covid scare. People need to get strong   in this  times,please stop covid scare people need get strong time,0
37,Should research about COVID variant and deploy them to Russia.,research covid variant deploy russia,0
44,I lost my husband for covid 9 months before. I am left with 2 children.  Often I feel to commit suicide.....,lost husband covid month left child often feel commit suicide,0
54,Very good. Finally you look beyond brutal control of your own people. How Human.,good finally look beyond brutal control people human,0
58,"DW speaking from both sides of its mouth, calling the unvaccinated to be ostracized and depression caused by regulation at the same time.",dw speaking side mouth calling unvaccinated ostracized depression caused regulation time,0
75,All thanks to your gov<br><br>Expect future profits in depression meds,thanks gov br br expect future profit depression med,0
78,"We don't mind war with the United States in Taiwan! After all, Taiwan's current control and economic income have been handed over to the Americans! So we are not afraid of Taiwan's loss!",mind war united state taiwan taiwan current control economic income handed american not afraid taiwan loss,0
81,NO depression for those who believe in ALLAH HU AKBAR,depression believe allah hu akbar,0
88,"At this stage, the only way to ensure that the hospitals don't overflow again is to have covid anti-viral drugs available to everyone.<br>Right now some drugs have been approved, but there's nowhere near enough of them to go around, Daily infection rates are out pacing supply 20 to 1. We need to find ways to increase mass production of those.",stage way ensure hospital overflow covid anti viral drug available everyone br right drug approved nowhere near enough go around daily infection rate pacing supply need find way increase mass production,0
89,Hope severe covid will go away! I lost a lot in covid.,hope severe covid go away lost lot covid,0
97,"Cov <del>19  has already become endemic in several countries; at least the Omicron variant has. Almost all my friends, acquaintances and relatives have become "" sick"" and recovered</del> all exhibited the Covid symptoms that experts described",cov del already become endemic several country least omicron variant almost friend acquaintance relative become quot sick quot recovered del exhibited covid symptom expert described,0
98,When we allow it with our thoughts/fears and with our own hands in creating it!!!!   We are the problem and those who see it as a good thing to create it's own selfish goals!,allow thought fear hand creating problem see good thing create selfish goal,0
104,Covid will never end. There will be thousands of variants with different permutations & combinations.,covid never end thousand variant different permutation amp combination,0
109,"It's called Covid2, not Covi2.",called covid not covi,0
110,"Every individual will decide when the pandemic is over for him. If you want to continue living in fear, I wish you the best of luck. For me, I am living life normally and nothing can steal my joy. Not even covid.",every individual decide pandemic want continue living fear wish best luck living life normally nothing steal joy not even covid,0
124,God pls end the covid ..,god pls end covid,0
127,To all the self declared and professional experts can someone explain to me why African nations have lower number covid cases and death despite having a low vaccine rate?,self declared professional expert someone explain african nation lower number covid case death despite low vaccine rate,0
130,DW starting to sucking back the BS???,dw starting sucking back b,0
132,Do you want to live a long time in fear or a short time without fear ?,want live long time fear short time without fear,0
134,I lived through many bouts of the deathly flus while living in Germany & the Netherlands in my 40s & 50s where they did not vaccinate under 60s people. I was very sick a number of times. I was surprised tonreturn to the states and be advised to get a flu vaccine. I haven't had a flu or covid since returning to the US in late 2019. I have not even had a substantial cold.,lived many bout deathly flu living germany amp netherlands amp not vaccinate people sick number time surprised tonreturn state advised get flu vaccine flu covid since returning us late not even substantial cold,0
145,Covid is forever.,covid forever,0
149,"The economic hardship, recession, unemployment and the loss of job caused by covid pandemic is enough to push people into financial ventures. Winter is here again with lots of activities to be enjoyed. Well, I'm taking a trip into investing because I lost so much during this pandemic. Multi creation of wealth is the best strategy to ensure financial sustainability.",economic hardship recession unemployment loss job caused covid pandemic enough push people financial venture winter lots activity enjoyed well taking trip investing lost much pandemic multi creation wealth best strategy ensure financial sustainability,0
152,Way too much recycled footage. Will now unsubscribe from this channel.,way much recycled footage unsubscribe channel,0
153,"""When will COVID-19 become endemic?""<br>It always was, just governments chose to grandstand.",quot covid become endemic quot br always government chose grandstand,0
157,When they stop testing,stop testing,0
158,Yes Its Become Endemic of COVID 19 then Return Normalcy Live Again This Year 2022 Pre Pandemic Like 2019,yes become endemic covid return normalcy live year pre pandemic like,0
160,"It is already endemic. Just stop testing, take jabs (for those who still didn't get vaccinated), and enjoy the life out there. Thankfully, the scientists have worked hard to get the vaccines ready in record time which has substantially lowered the death rate. In any case, a pandemic would last for 2-3 years before becoming endemic, either with an extremely high death rate (as in the case of the Flu in 1918-1920) or with a much lesser death rate (as in the case of this one in 2019-2022).",already endemic stop testing take jab still get vaccinated enjoy life thankfully scientist worked hard get vaccine ready record time substantially lowered death rate case pandemic would last year becoming endemic either extremely high death rate case flu much lesser death rate case one,0
161,I had to stop listening to this because of the Kim Kardashian croaking of the presenter at the end of every sentence.<br>Nauseating.,stop listening kim kardashian croaking presenter end every sentence br nauseating,0
164,Omicron is the endemic version of Covid 19,omicron endemic version covid,0
166,There HAS NEVER BEEN ANYRHING TO FEAR . <br>Baaa baa baaaa,never anyrhing fear br baaa baa baaaa,0
169,"Norway let go of restrictions today, Sweden earlier this week and Danmark last week.",norway let go restriction today sweden earlier week danmark last week,0
173,COVID 19 end date 2027...,covid end date,0
180,"***What I am about to say is simply my opinion and not stating fact.<br><br>     Let me start with 20 years ago. My then wife suffering from SLE, an immune disorder, and I had twins. <br>Any time one of the twins had a sniffle, runny nose, cough, etc... she would just stuff them full of baby medicines.<br>I get the maternal instinct to comfort your children, but in my opinion it was too much.<br><br>     Perhaps her mother did the same, but my parents never coddled my sisters and I when we had a sniffle our cough.<br>my parents would just "" Keep an eye on us "" and monitor. If things worsened, they took action. I would catch colds or<br>flu and my parents would make me stay in bed and watch tv. my mom would come in from time to time to check<br>my temperature and give me chicken soup. To this day, I am rarely sick. The last time I had the flu was 1996, and I never <br>get the flu shot.<br><br>     Anyway, back to my then wife...she would simply over do it with the medicines on our children and I kept telling her<br>to let them fight through it but monitor the symptoms and fever. She thought I was cruel and uncaring. She acted like<br>I wanted our children to suffer. I told her that I do care and I certainly do not want them to suffer, however, our newborn children's<br>immune systems are still in the developing stage and if you have all these medicines to do the work of<br>their immune systems....their immune system will not develop, and they will always seem to be sick.<br><br>     This is pretty much what is going on with this Covid thing. If we are wearing masks everywhere, social distancing, <br>sanitizing our hands etc....aren't we pretty much doing the same thing ? weakening our immune systems ?<br>I am 57, almost 58 ( September this year ) and I do not wear a mask except where it is required. I have not had a sniffle<br>nor a fever the entire pandemic. The last time I was sick was 1996 with the flu. Statistically I should have got sick, but<br>I have not....and I believe it is because my parents allowed my immune system to develop. <br><br>.....Use it or lose it.....",say simply opinion not stating fact br br let start year ago wife suffering sle immune disorder twin br time one twin sniffle runny nose cough etc would stuff full baby medicine br get maternal instinct comfort child opinion much br br perhaps mother parent never coddled sister sniffle cough br parent would quot keep eye us quot monitor thing worsened took action would catch cold br flu parent would make stay bed watch tv mom would come time time check br temperature give chicken soup day rarely sick last time flu never br get flu shot br br anyway back wife would simply medicine child kept telling br let fight monitor symptom fever thought cruel uncaring acted like br wanted child suffer told care certainly not want suffer however newborn child br immune system still developing stage medicine work br immune system immune system not develop always seem sick br br pretty much going covid thing wearing mask everywhere social distancing br sanitizing hand etc pretty much thing weakening immune system br almost september year not wear mask except required not sniffle br fever entire pandemic last time sick flu statistically got sick br not believe parent allowed immune system develop br br use lose,0
184,I had Delta in 2020. Double vaccination of moderna from then . Than got omicron in 2021. I stuck with skin problems for all the two years. Still have skin problems. I believe is my immune system over acted.,delta double vaccination moderna got omicron stuck skin problem two year still skin problem believe immune system acted,0
195,Big vague lies are the same as little sharp lies.,big vague lie little sharp lie,0
225,MANDATE FREEDO. MANDATE FREEDOM FREEDOM FREEDOM,mandate freedo mandate freedom freedom freedom,0
227,DW covid-19 special is our nr. 1 choice for legitimate information on covid.  For a fortnight now we have been unable to access it on YouTube here in the USA.  It is GREAT to have you back -- please ensure that your programming here continues to be available.  Thank you!,dw covid special nr choice legitimate information covid fortnight unable access youtube usa great back please ensure programming continues available thank,0
229,Props to you Jack Parrock for your courage to report from inside the COVID ward. Serious dedication to your profession.,prop jack parrock courage report inside covid ward serious dedication profession,0
235,"Take sunlight, 30min daily, applied externally to max skin exposure",take sunlight min daily applied externally max skin exposure,0
239,"Reading about people grabbing multi-figures monthly as income in investments even in this crazy days in the market,any pointers on how to make substantial progress in earnings?would be appreciated..",reading people grabbing multi figure monthly income investment even crazy day market pointer make substantial progress earnings would appreciated,0
243,"What makes the involvement of the German academic world in the discussion of Covid19 management, emerging data, and what's going on on the other parts of the world so low?",make involvement german academic world discussion covid management emerging data going part world low,0
244,"I had 2 vaccine, flu injection and the booster and I got carona",vaccine flu injection booster got carona,0
250,"Thirteen minutes in and still no discussion or revelation of ""What helps for Covid."" I'm out.",thirteen minute still discussion revelation quot help covid quot,0
253,I don't know why people don't cover the vaccination that Cuba has made that country have made one of the greatest Fascination it's sad the way everything is control,know people cover vaccination cuba made country made one greatest fascination sad way everything control,0
255,An apples and orange everyday seem to control the symptoms for me.,apple orange everyday seem control symptom,0
256,How can you expect higher severe cases in covid if covid has a lower fatality since the beginning?<br><br>Many death only resulted from lack of any kind of medical attention. Like what happened in India when they experience lack in oxygen supplies. Surely it will make death in covid.,expect higher severe case covid covid lower fatality since beginning br br many death resulted lack kind medical attention like happened india experience lack oxygen supply surely make death covid,0
264,Don't delete my comment again DW. There are a few legitimate studies showing that people on plant based diets have better outcomes.<br><br>Stop trying to stop people from looking it up and maybe making a good lifestyle choice.,delete comment dw legitimate study showing people plant based diet better outcome br br stop trying stop people looking maybe making good lifestyle choice,0
308,My two year old and 7 year old are both Covid positive.,two year old year old covid positive,0
310,Making old people feel safe is more important than children and their development. Put mask on kids and teach them to fear everything and everyone,making old people feel safe important child development put mask kid teach fear everything everyone,0
311,"My child came from school with some virus. In this moment I and Father also feel seek. 1 week we can not normally work. Class in ""lock down"" too. For ps: lost year my kid was out of school (one year). The result:  0 times any kind infection. 0 time! We were staying healthy! What about learning in school? NO! NO! If you care about your child, teach him by yourself. You have internet! There are so many websites, program, books, library, channels foe kids. School is prison for your child. Do you remember your school? How much did you learn? Elon Musk had home education. Rich Dad Poor Dad had learn how to earn money NOT in school!",child came school virus moment father also feel seek week not normally work class quot lock quot p lost year kid school one year result time kind infection time staying healthy learning school care child teach internet many website program book library channel foe kid school prison child remember school much learn elon musk home education rich dad poor dad learn earn money not school,0
314,You broke and brainwashed them.<br><br>How do you think they held up?,broke brainwashed br br think held,0
315,The kids are being brainwashed.,kid brainwashed,0
320,"Poor kids, being brainwashed on spawn.",poor kid brainwashed spawn,0
332,"Badly, the adults failed them by believing lies and trying to jab them.",badly adult failed believing lie trying jab,0
335,"The alpaca research in Chile is very interesting and has been working from the very start, an in-depth video along with what the other labs are doing would be very interesting...",alpaca research chile interesting working start depth video along lab would interesting,0
338,"I had covid in April,2021, and then in Jan,2022. Both times I was fortunate to have next to none impact on me...feeble headaches now and then, some sore throat, and thats all.Some affects may be stretched over a period of time though. In between two infections I has Johnson vaccine too. I have no underlying comorbidities, 55kg of weight, no alcohol or smoking, and I am a vegetarian.",covid april jan time fortunate next none impact feeble headache sore throat thats affect may stretched period time though two infection johnson vaccine underlying comorbidities kg weight alcohol smoking vegetarian,0
346,"I had Covid in February 2021 & I'm not vaccinated it was mild, I lost my smell & taste & I had a heavy cold, I had a bit of temperature but didn't go past 36°C. I stopped consuming junk/fast foods & I started being up on all my vitamins since early 2020, my 9 year old daughter has been complaining of a runny nose & her throat feels like a cactus & I tested her with my rapid test & it came out positive, I do have a scratchy throat.",covid february amp not vaccinated mild lost smell amp taste amp heavy cold bit temperature go past c stopped consuming junk fast food amp started vitamin since early year old daughter complaining runny nose amp throat feel like cactus amp tested rapid test amp came positive scratchy throat,0
349,"I am 22 year old, with 3 doses of Pfizer, healthy and only leaving my home to buy groceries with a mask in my car and was able to get covid. Stay safe out there",year old dos pfizer healthy leaving home buy grocery mask car able get covid stay safe,0
354,I wonder what some folks will do when all the nurses and doctors quit?,wonder folk nurse doctor quit,1
